地区,家庭户规模（人/户）,一人户,二人户,三人户,四人户,五人户,六人及六人以上户（人/户）
总计,3.04,14.45,29.26,24.49,16.66,8.63,6.50
合肥市,2.86,15.74,29.74,27.11,16.35,6.69,4.38,
淮北市,3.05,12.62,29.99,25.95,17.50,7.70,6.27,
亳州市,3.53,12.23,24.71,17.80,22.07,11.55,11.64,
宿州市,3.12,14.40,30.03,20.63,19.40,8.46,7.08,
蚌埠市,3.09,14.21,29.20,23.70,17.32,8.47,7.11,
阜阳市,3.44,12.67,24.64,19.53,21.60,10.70,10.86,
淮南市,2.90,16.97,32.23,23.02,15.42,6.74,5.61,
滁州市,3.17,12.43,28.28,24.50,16.80,10.16,7.82,
六安市,3.22,13.61,26.88,22.22,18.18,10.58,8.53,
马鞍山市,2.81,16.45,33.79,25.55,12.27,7.30,4.65,
芜湖市,2.92,15.01,29.03,28.00,14.93,8.41,4.63,
宣城市,2.69,18.68,35.71,23.15,11.76,7.15,3.55,
铜陵市,2.77,14.35,31.84,31.31,14.10,5.65,2.74,
池州市,2.89,15.23,31.65,25.58,14.80,8.05,4.70,
安庆市,3.32,11.17,23.99,25.68,19.12,11.40,8.63,
黄山市,2.81,16.29,31.77,27.34,12.53,7.72,4.36,
